"PMID","Research Type","Human / Mouse","Condition1","Condition2","Gut Microbiota (ID)","Classification","Alteration","Sequencing Technology","Microbial-Mediated Networks","Details"
"16601353","Gut microbiota associated with phenotype","Human","Eczema","Health","Bifidobacterium (1678, gm0105)","genus","absent","16s rRNA gene sequencing","microbial-mediated network","details"
"16601353","Gut microbiota associated with phenotype","Human","Eczema","Health","Bifidobacterium sp. (41200, gm0114)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"16601353","Gut microbiota associated with phenotype","Human","Eczema","Health","Clostridium (1485, gm0187)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"16763747","Interventions change the composition of gut microbiota","Human","Lupin Kernel Fiber","No Lupin Kernel Fiber","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"16763747","Interventions change the composition of gut microbiota","Human","Lupin Kernel Fiber","No Lupin Kernel Fiber","Clostridium cocleatum (69824, gm0199)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"16763747","Interventions change the composition of gut microbiota","Human","Lupin Kernel Fiber","No Lupin Kernel Fiber","Clostridium spiroforme (29348, gm0215)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"16763747","Interventions change the composition of gut microbiota","Human","Lupin Kernel Fiber","No Lupin Kernel Fiber","Erysipelatoclostridium ramosum (1547, gm0297)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"16849736","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bacteroidetes (976, gm0090)","phylum","present","16s rRNA gene sequencing","microbial-mediated network","details"
"16849736","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","lactobacillus (1578, gm0393)","genus","present","16s rRNA gene sequencing","microbial-mediated network","details"
"16849736","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Bacteroidetes (976, gm0090)","phylum","present","16s rRNA gene sequencing","microbial-mediated network","details"
"16849736","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Crohn Disease","Bacteroidetes (976, gm0090)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17119388","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Clostridium (1485, gm0187)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17119388","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Escherichia (561, gm0304)","genus","absent","16s rRNA gene sequencing","microbial-mediated network","details"
"17119388","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17119388","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Fusobacteria (32066, gm0341)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17189447","Interventions change the composition of gut microbiota","Human","Energy maintenance diet","Diet,Carbohydrate-Restricted","Bifidobacterium (1678, gm0105)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17189447","Interventions change the composition of gut microbiota","Human","Energy maintenance diet","Diet,Carbohydrate-Restricted","Eubacterium rectale (39491, gm1186)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17189447","Interventions change the composition of gut microbiota","Human","Energy maintenance diet","Diet,Carbohydrate-Restricted","Roseburia intestinalis (166486, gm0574)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17217568","Interventions change the composition of gut microbiota","Human","Yogurt","No yogurt","Enterobacteriaceae (543, gm0282)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17265126","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bacteroides (816, gm0077)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17265126","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Enterobacteriaceae (543, gm0282)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17265126","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Faecalibacterium prausnitzii (853, gm0327)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17430346","Gut microbiota associated with phenotype","Human","Hypersensitivity","Health","Bifidobacterium bifidum (1681, gm0108)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17430346","Gut microbiota associated with phenotype","Human","Hypersensitivity","Health","Bifidobacterium catenulatum (1686, gm0110)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Atopobium (1380, gm0062)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bacteroidaceae (815, gm0072)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bacteroides fragilis (817, gm0082)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bacteroides ovatus (28116, gm0084)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bacteroides thetaiotaomicron (818, gm1182)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Blautia coccoides (1532, gm0118)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Clostridium leptum (1535, gm0204)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Enterococcus (1350, gm0287)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Lactobacillus (1578, gm0393)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Phocaeicola vulgatus (821, gm0874)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Veillonella (29465, gm0676)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Atopobium (1380, gm0062)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Bacteroidaceae (815, gm0072)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Bacteroides fragilis (817, gm0082)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Bacteroides ovatus (28116, gm0084)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Blautia coccoides (1532, gm0118)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Clostridium leptum (1535, gm0204)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Enterococcus (1350, gm0287)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Lactobacillus (1578, gm0393)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Phocaeicola vulgatus (821, gm0874)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Veillonella (29465, gm0676)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Clinical Deterioration; Colitis,Ulcerative","Remission,Spontaneous; Colitis,Ulcerative","Atopobium (1380, gm0062)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Clinical Deterioration; Colitis,Ulcerative","Remission,Spontaneous; Colitis,Ulcerative","Blautia coccoides (1532, gm0118)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"17897884","Gut microbiota associated with phenotype","Human","Clinical Deterioration; Colitis,Ulcerative","Remission,Spontaneous; Colitis,Ulcerative","Clostridium leptum (1535, gm0204)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"18725973","Gut microbiota associated with phenotype","Human","Familial Mediterranean Fever; Remission,Spontaneous","Health","Ruminococcus (1263, gm0587)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"18725973","Gut microbiota associated with phenotype","Human","Familial Mediterranean Fever","Health","Atopobium (1380, gm0062)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"18725973","Gut microbiota associated with phenotype","Human","Familial Mediterranean Fever","Health","Eubacteriales (186802, gm1168)","order","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"18725973","Gut microbiota associated with phenotype","Human","Familial Mediterranean Fever","Health","Ruminococcus (1263, gm0587)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Obesity","Health","Bacteroidetes (976, gm0090)","phylum","present","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Obesity","Health","Prevotellaceae (171552, gm0540)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Gastric Bypass","Health","Clostridia (186801, gm0181)","class","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Gastric Bypass","Health","Enterobacteriaceae (543, gm0282)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Gastric Bypass","Health","Gammaproteobacteria (1236, gm0349)","class","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Obesity","Gastric Bypass","Clostridia (186801, gm0181)","class","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Obesity","Gastric Bypass","Enterobacteriaceae (543, gm0282)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19164560","Gut microbiota associated with phenotype","Human","Obesity","Gastric Bypass","Gammaproteobacteria (1236, gm0349)","class","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19235886","Gut microbiota associated with phenotype","Human","Active ulcerative colitis","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19235886","Gut microbiota associated with phenotype","Human","Active ulcerative colitis","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
